ticker,year,annual_return_pct,lagged_return,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,ministry_Agriculture,ministry_Commerce,ministry_Digital Economy,ministry_Energy,ministry_Finance,ministry_Industry,ministry_Interior,ministry_Public Health,ministry_Tourism & Sports,ministry_Transport,ticker_ministry,cabinet_no,party_coalition,party_core,party_independent,party_none,budget_yoy_pct
CPN,2020,-20.18877640152973,-20.749395874534105,0.0169491525423728,0.228,0.0,0.0554699537750385,3.0846493561296783e-47,0.0081556251675953,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,62,False,False,True,False,-5.29289708554942
CPN,2021,16.772323941067203,-20.18877640152973,0.0169491525423728,0.228,0.0,0.0554699537750385,3.0846493561296783e-47,0.0081556251675953,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,62,False,False,True,False,-5.008191488147451
CPN,2022,32.280316300582214,16.772323941067203,0.0169491525423728,0.228,0.0,0.0554699537750385,3.0846493561296783e-47,0.0081556251675953,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,62,False,False,True,False,-5.672728982174691
CPN,2023,-0.0188761283052452,32.280316300582214,0.0169491525423728,0.228,0.0,0.0554699537750385,3.0846493561296783e-47,0.0081556251675953,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,62,False,False,True,False,3.084742479848268
CPN,2024,-9.461892963811191,-0.0188761283052452,0.0169491525423728,0.228,0.0,0.0554699537750385,3.0846493561296783e-47,0.0081556251675953,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,63,True,False,False,False,8.101655674545682
CPN,2025,8.722069049469772,-9.461892963811191,0.0169491525423728,0.228,0.0,0.0554699537750385,3.0846493561296783e-47,0.0081556251675953,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,64,False,True,False,False,-16.263959313842193
CPN,2026,23.593590063795155,8.722069049469772,0.0169491525423728,0.228,0.0,0.0554699537750385,3.0846493561296783e-47,0.0081556251675953,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,66,False,True,False,False,1.8236478094894482
CRC,2021,5.2425707627151485,-2.380944549923858,0.0169491525423728,0.631,0.0,0.0554699537750385,1.1524431217943613e-22,0.0135494404246754,False,True,False,False,False,False,False,False,False,False,กระทรวงพาณิชย์,62,True,False,False,False,-7.843228061719931
CRC,2022,37.077150288638336,5.2425707627151485,0.0169491525423728,0.631,0.0,0.0554699537750385,1.1524431217943613e-22,0.0135494404246754,False,True,False,False,False,False,False,False,False,False,กระทรวงพาณิชย์,62,True,False,False,False,-7.038315353040458
CRC,2023,-2.5121552713056605,37.077150288638336,0.0169491525423728,0.631,0.0,0.0554699537750385,1.1524431217943613e-22,0.0135494404246754,False,True,False,False,False,False,False,False,False,False,กระทรวงพาณิชย์,62,True,False,False,False,1.5478384059950834
CRC,2024,4.02979328721651,-2.5121552713056605,0.0169491525423728,0.631,0.0,0.0554699537750385,1.1524431217943613e-22,0.0135494404246754,False,True,False,False,False,False,False,False,False,False,กระทรวงพาณิชย์,63,False,True,False,False,5.11854355060446
CRC,2025,-42.44175987810189,4.02979328721651,0.0169491525423728,0.631,0.0,0.0554699537750385,1.1524431217943613e-22,0.0135494404246754,False,True,False,False,False,False,False,False,False,False,กระทรวงพาณิชย์,64,False,True,False,False,8.447282335780537
CRC,2026,24.836309577263727,-42.44175987810189,0.0169491525423728,0.631,0.0,0.0554699537750385,1.1524431217943613e-22,0.0135494404246754,False,True,False,False,False,False,False,False,False,False,กระทรวงพาณิชย์,66,False,True,False,False,26.98189871595993
DELTA,2017,-11.597393375074171,6.918463598838387,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,61,False,False,False,True,-3.05925755982166
DELTA,2018,-6.675873814800159,-11.597393375074171,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,61,False,False,False,True,-0.6241617384816545
DELTA,2019,-20.499500020676543,-6.675873814800159,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,62,False,True,False,False,-8.972289811744371
DELTA,2020,809.8258131301941,-20.499500020676543,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,62,False,True,False,False,-0.9054371592309263
DELTA,2021,-21.33026396502834,809.8258131301941,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,62,False,True,False,False,-10.120348420930236
DELTA,2022,140.18898505733551,-21.33026396502834,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,62,False,True,False,False,-6.8278812906210185
DELTA,2023,-1.8025823507808347,140.18898505733551,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,63,True,False,False,False,3.0142750947522723
DELTA,2024,94.9313623624758,-1.8025823507808347,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,63,True,False,False,False,1.3062521584744413
DELTA,2025,38.07144330967098,94.9313623624758,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,64,True,False,False,False,17.961563357030542
DELTA,2026,46.67230056362841,38.07144330967098,0.0169491525423728,0.017,0.0,0.0225988700564971,2.7123920094749604e-180,0.0070875706671656,False,False,False,False,False,True,False,False,False,False,กระทรวงอุตสาหกรรม,66,False,True,False,False,2.3116277057527945
EGCO,2017,10.28588667459318,23.85263413140117,0.0169491525423728,0.497,0.0,0.1061164333087693,0.2679153524566774,0.0139654298502305,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,61,False,False,False,True,2.314652336421208
EGCO,2018,18.533775278946287,10.28588667459318,0.0169491525423728,0.497,0.0,0.1061164333087693,0.2679153524566774,0.0139654298502305,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,61,False,False,False,True,8.190805078415565
EGCO,2019,28.019153455219524,18.533775278946287,0.0169491525423728,0.497,0.0,0.1061164333087693,0.2679153524566774,0.0139654298502305,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,61,False,False,False,True,3.592628163338518
EGCO,2020,-35.050910252212745,28.019153455219524,0.0169491525423728,0.497,0.0,0.1061164333087693,0.2679153524566774,0.0139654298502305,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,62,False,True,False,False,-6.949029121466688
EGCO,2021,2.091586572938664,-35.050910252212745,0.0169491525423728,0.497,0.0,0.1061164333087693,0.2679153524566774,0.0139654298502305,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,62,False,False,True,False,6.4514842349212564
EGCO,2022,5.299408095331715,2.091586572938664,0.0169491525423728,0.497,0.0,0.1061164333087693,0.2679153524566774,0.0139654298502305,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,62,False,False,True,False,18.791024566465687
EGCO,2023,-23.02068745448049,5.299408095331715,0.0169491525423728,0.497,0.0,0.1061164333087693,0.2679153524566774,0.0139654298502305,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,62,False,False,True,False,-0.2751189690922473
EGCO,2024,-6.108675213729631,-23.02068745448049,0.0169491525423728,0.497,0.0,0.1061164333087693,0.2679153524566774,0.0139654298502305,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,63,True,False,False,False,2.754549984514809
