node,node_type,degree,weighted_degree,betweenness,eigenvector,pagerank
TOP,stock,0.008620689655172414,0.054,0.0,2.566948610205468e-07,0.0015290710815589169
BBL,stock,0.008620689655172414,0.38,0.0,1.368886828710016e-07,0.002727980731943463
KBANK,stock,0.008620689655172414,0.581,0.0,2.0929559144224196e-07,0.0034776920825437437
KKP,stock,0.008620689655172414,0.345,0.0,1.242805147118304e-07,0.002597433979351374
KTB,stock,0.008620689655172414,0.356,0.0,1.2824308184756993e-07,0.0026384629587374595
KTC,stock,0.008620689655172414,0.501,0.0,1.8047692136413635e-07,0.003179299505190398
MTC,stock,0.008620689655172414,0.127,0.0,4.574963874899265e-08,0.0017843142060635082
SCB,stock,0.008620689655172414,0.629,0.0,2.2658679348910534e-07,0.003656727628955751
TCAP,stock,0.008620689655172414,0.19,0.0,6.84443414355008e-08,0.0020192983607292677
TIDLOR,stock,0.008620689655172414,0.0,0.0,5.008715748083513e-45,0.0013106159895150723
TISCO,stock,0.008620689655172414,0.124,0.0,4.466893862106369e-08,0.0017731244844127578
TLI,stock,0.008620689655172414,0.441,0.0,1.5886291880555716e-07,0.002955505072175389
AOT,stock,0.008620689655172414,0.415,0.0,2.3872039308625236e-07,0.0024014343785322876
BEM,stock,0.008620689655172414,0.084,0.0,4.831930848010891e-08,0.00153140814536434
THAI,stock,0.008620689655172414,0.004,0.0,2.3009194514337577e-09,0.0013211299016983708
AWC,stock,0.008620689655172414,0.1,0.0,0.007263459568967615,0.0015340663323648118
CPN,stock,0.008620689655172414,0.228,0.0,0.016560687817246164,0.0018200827712124784
LH,stock,0.008620689655172414,0.323,0.0,0.023460974407765397,0.002032360596919731
SCC,stock,0.008620689655172414,0.582,0.0,0.042273334691391516,0.0026110969849005563
SCGP,stock,0.008620689655172414,0.37,0.0,0.02687480040518018,0.0021373822580591085
WHA,stock,0.008620689655172414,0.403,0.0,0.029271742062939494,0.0022111208711995227
MRDIYT,stock,0.008620689655172414,0.0,0.0,5.008715748083513e-45,0.0013106159895150723
HMPRO,stock,0.008620689655172414,0.583,0.0,0.00015109107567967477,0.003166682030390355
CRC,stock,0.008620689655172414,0.631,0.0,0.00016353082119017974,0.0033194970732068445
CPALL,stock,0.008620689655172414,0.4,0.0,0.00010366454592087467,0.0025840746796524875
COM7,stock,0.008620689655172414,0.406,0.0,0.0001052195141096878,0.0026031765600045484
BJC,stock,0.008620689655172414,0.402,0.0,0.00010418286865047903,0.0025904419731031746
BH,stock,0.008620689655172414,0.212,0.0,0.0030700871053389385,0.0018198681080139282
BDMS,stock,0.008620689655172414,0.086,0.0,0.0012454126936752299,0.0015171993960759289
TTB,stock,0.008620689655172414,0.112,0.0,4.0346138109347844e-08,0.0017283655978097558
สมหมาย ภาษี,minister,0.008620689655172414,0.9698630136986301,0.0,3.493770276592255e-07,0.004928115043730287
อภิศักดิ์ ตันติวรวงศ์,minister,0.008620689655172414,3.893150684931507,0.0,1.4024428144173996e-06,0.01583170682578575
MINT,stock,0.008620689655172414,0.061,0.0,7.994781732549846e-09,0.001478933413643346
TFG,stock,0.008620689655172414,0.343,0.0,3.1832804648106943e-06,0.0023237693398694623
TU,stock,0.008620689655172414,0.022,0.0,2.0417542339893662e-07,0.0013755995863308059
CCET,stock,0.008620689655172414,0.065,0.0,2.386279781937635e-08,0.0015096731648078432
DELTA,stock,0.008620689655172414,0.017,0.0,6.241039429683047e-09,0.0013626770968993354
