ticker,year,annual_return_pct,lagged_return,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,ministry_Agriculture,ministry_Commerce,ministry_Digital Economy,ministry_Energy,ministry_Finance,ministry_Industry,ministry_Interior,ministry_Public Health,ministry_Tourism & Sports,ministry_Transport
CPF,2023,-15.499390322924013,0.8090149236276378,0.01694915254237288,0.313,0.0,0.038740920096852295,1.9748604814755688e-75,0.012016510035317412,True,False,False,False,False,False,False,False,False,False
CPF,2024,24.82753619543534,-15.499390322924013,0.01694915254237288,0.313,0.0,0.038740920096852295,1.9748604814755688e-75,0.012016510035317412,True,False,False,False,False,False,False,False,False,False
CPF,2025,5.631249408942507,24.82753619543534,0.01694915254237288,0.313,0.0,0.038740920096852295,1.9748604814755688e-75,0.012016510035317412,True,False,False,False,False,False,False,False,False,False
CPF,2026,7.67494428306017,5.631249408942507,0.01694915254237288,0.313,0.0,0.038740920096852295,1.9748604814755688e-75,0.012016510035317412,True,False,False,False,False,False,False,False,False,False
CPN,2017,53.14472617828343,28.458020114454484,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CPN,2018,-8.389851270782799,53.14472617828343,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CPN,2019,-20.749395874534105,-8.389851270782799,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CPN,2020,-20.18877640152973,-20.749395874534105,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CPN,2021,16.772323941067203,-20.18877640152973,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CPN,2022,32.280316300582214,16.772323941067203,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CPN,2023,-0.0188761283052452,32.280316300582214,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CPN,2024,-9.461892963811191,-0.0188761283052452,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CPN,2025,8.722069049469772,-9.461892963811191,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CPN,2026,23.593590063795155,8.722069049469772,0.01694915254237288,0.228,0.0,0.05546995377503852,3.0846493561296783e-47,0.00815562516759534,False,False,False,False,False,False,True,False,False,False
CRC,2021,5.2425707627151485,-2.380944549923858,0.01694915254237288,0.631,0.0,0.05546995377503852,1.1524431217943613e-22,0.01354944042467548,False,True,False,False,False,False,False,False,False,False
CRC,2022,37.077150288638336,5.2425707627151485,0.01694915254237288,0.631,0.0,0.05546995377503852,1.1524431217943613e-22,0.01354944042467548,False,True,False,False,False,False,False,False,False,False
